"id","qid1","qid2","question1","question2","is_duplicate"
"0","1","2","What is the step by step guide to invest in share market in india?","What is the step by step guide to invest in share market?","0"
"1","3","4","What is the story of Kohinoor (Koh-i-Noor) Diamond?","What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?","0"
"2","5","6","How can I increase the speed of my internet connection while using a VPN?","How can Internet speed be increased by hacking through DNS?","0"
"3","7","8","Why am I mentally very lonely? How can I solve it?","Find the remainder when [math]23^{24}[/math] is divided by 24,23?","0"
"4","9","10","Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?","Which fish would survive in salt water?","0"
"5","11","12","Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?","I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?","1"
"6","13","14","Should I buy tiago?","What keeps childern active and far from phone and video games?","0"
"7","15","16","How can I be a good geologist?","What should I do to be a great geologist?","1"
"8","17","18","When do you use シ instead of し?","When do you use ""&"" instead of ""and""?","0"
"9","19","20","Motorola (company): Can I hack my Charter Motorolla DCX3400?","How do I hack Motorola DCX3400 for free internet?","0"
"10","21","22","Method to find separation of slits using fresnel biprism?","What are some of the things technicians can tell about the durability and reliability of Laptops and its components?","0"
"11","23","24","How do I read and find my YouTube comments?","How can I see all my Youtube comments?","1"
"12","25","26","What can make Physics easy to learn?","How can you make physics easy to learn?","1"
"13","27","28","What was your first sexual experience like?","What was your first sexual experience?","1"
"14","29","30","What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?","What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?","0"
"15","31","32","What would a Trump presidency mean for current international master’s students on an F1 visa?","How will a Trump presidency affect the students presently in US or planning to study in US?","1"
"16","33","34","What does manipulation mean?","What does manipulation means?","1"
"17","35","36","Why do girls want to be friends with the guy they reject?","How do guys feel after rejecting a girl?","0"
"18","37","38","Why are so many Quora users posting questions that are readily answered on Google?","Why do people ask Quora questions which can be answered easily by Google?","1"
"19","39","40","Which is the best digital marketing institution in banglore?","Which is the best digital marketing institute in Pune?","0"
"20","41","42","Why do rockets look white?","Why are rockets and boosters painted white?","1"
"21","43","44","What's causing someone to be jealous?","What can I do to avoid being jealous of someone?","0"
"22","45","46","What are the questions should not ask on Quora?","Which question should I ask on Quora?","0"
"23","47","48","How much is 30 kV in HP?","Where can I find a conversion chart for CC to horsepower?","0"
"24","49","50","What does it mean that every time I look at the clock the numbers are the same?","How many times a day do a clock’s hands overlap?","0"
"25","51","52","What are some tips on making it through the job interview process at Medicines?","What are some tips on making it through the job interview process at Foundation Medicine?","0"
"26","53","54","What is web application?","What is the web application framework?","0"
"27","55","56","Does society place too much importance on sports?","How do sports contribute to the society?","0"
"28","57","58","What is best way to make money online?","What is best way to ask for money online?","0"
"29","59","60","How should I prepare for CA final law?","How one should know that he/she completely prepare for CA final exam?","1"
"30","61","62","What's one thing you would like to do better?","What's one thing you do despite knowing better?","0"
"31","63","64","What are some special cares for someone with a nose that gets stuffy during the night?","How can I keep my nose from getting stuffy at night?","1"
"32","65","66","What Game of Thrones villain would be the most likely to give you mercy?","What Game of Thrones villain would you most like to be at the mercy of?","1"
"33","67","68","Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?","How is the average speed of gas molecules determined?","0"
"34","69","70","What is the best travel website in spain?","What is the best travel website?","0"
"35","71","72","Why do some people think Obama will try to take their guns away?","Has there been a gun control initiative to take away guns people already own?","0"
"36","73","74","I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?","I am a 19 year old guy. How can I become a billionaire in the next 10 years?","0"
"37","75","76","When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?","My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?","0"
"38","77","78","How do we prepare for UPSC?","How do I prepare for civil service?","1"
"39","79","80","What is the stall speed and AOA of an f-14 with wings fully swept back?","Why did aircraft stop using variable-sweep wings, like those on an F-14?","0"
"40","81","82","Why do Slavs squat?","Will squats make my legs thicker?","0"
"41","83","84","When can I expect my Cognizant confirmation mail?","When can I expect Cognizant confirmation mail?","0"
"42","85","86","Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?","0"
"43","87","88","Is being a good kid and not being a rebel worth it in the long run?","Is being bored good for a kid?","0"
"44","89","90","What universities does Rexnord recruit new grads from? What majors are they looking for?","What universities does B&G Foods recruit new grads from? What majors are they looking for?","0"
"45","91","92","What is the quickest way to increase Instagram followers?","How can we increase our number of Instagram followers?","0"
"46","93","94","How did Darth Vader fought Darth Maul in Star Wars Legends?","Does Quora have a character limit for profile descriptions?","0"
"47","95","96","What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?","0"
"48","97","98","What are some examples of products that can be make from crude oil?","What are some of the products made from crude oil?","1"
"49","99","100","How do I make friends.","How to make friends ?","1"
